8 9 11 12 13 17 18 19 20 21 22 23 24 25 26 27 35 38 39 43 44 45 46 49 51 55 56 59 61 66 68 71 72 78 2 3 4 5 6 7 10 14 15 16 28 29 30 31 32 33 34 36 37 40 41 42 52 53 54 57 58 60 62 63 64 65 67 69 70 73 74 75 76 77 
s  p  r  o  g  a  m  v  i  n  t  e  0  1  2  3  4  5  6  7  8  9  .  L  E  =  <  >  l  b  d  f  s  h  w  +  -  *  /  ;  ,  (  )  :  c  j  k  q  u  x  y  z  A  B  C  D  F  G  H  I  J  K  M  N  O  P  Q  R  S  T  U  V  W  X  Y  Z  
0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
1  2  3  2  2  2  2  4  5  2  6  7  8  8  8  8  8  8  8  8  8  8  9  10  10  11  12  13  2  14  15  2  2  2  16  17  18  19  20  21  22  23  24  25  2  2  2  2  2  2  2  2  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  10  
2  28  73  28  28  28  28  28  28  28  28  28  30  30  30  30  30  30  30  30  30  30  0  31  31  0  0  0  28  28  28  28  28  28  28  0  0  0  0  0  0  0  0  0  28  28  28  28  28  28  28  28  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  
3  28  28  28  28  28  28  28  28  28  28  69  30  30  30  30  30  30  30  30  30  30  0  31  31  0  0  0  28  28  28  28  28  28  28  0  0  0  0  0  0  0  0  0  28  28  28  28  28  28  28  28  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  
4  28  28  28  28  67  28  28  28  28  28  28  30  30  30  30  30  30  30  30  30  30  0  31  31  0  0  0  28  28  28  28  28  28  28  0  0  0  0  0  0  0  0  0  28  28  28  28  28  28  28  28  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  
5  28  28  28  28  28  28  28  28  60  28  28  30  30  30  30  30  30  30  30  30  30  0  31  31  0  0  0  28  28  28  61  28  28  28  0  0  0  0  0  0  0  0  0  28  28  28  28  28  28  28  28  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  
6  28  28  28  28  28  28  28  28  28  28  28  30  30  30  30  30  30  30  30  30  30  0  31  31  0  0  0  28  28  28  28  28  57  28  0  0  0  0  0  0  0  0  0  28  28  28  28  28  28  28  28  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  
7  28  28  28  28  28  28  28  28  52  28  28  30  30  30  30  30  30  30  30  30  30  0  31  31  0  0  0  53  28  28  28  28  28  28  0  0  0  0  0  0  0  0  0  28  28  28  28  28  28  28  28  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  31  
8  0  0  0  0  0  0  0  0  0  0  0  8  8  8  8  8  8  8  8  8  8  47  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
9  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  
